respondent_id,first_name,last_name,email,segment,age,city,purchase_frequency_per_month,monthly_beverage_spend_eur,price_sensitivity_1_10,preferred_channel,aware_pulsup,aware_matelibre,aware_voltfit,aware_rootandrise,lumen_purchase_intent_1_10
1,Ida,Schwarz,ida.schwarz1@example.com,Students & Budget-Conscious,22,Hamburg,11.7,25.38,5.1,Gym & Office,0,1,1,0,8.5
2,Lina,Lange,lina.lange2@example.com,Fitness & Gym-Goers,30,Hamburg,8.8,28.77,5.5,Gym & Office,0,0,1,0,7.1
3,Sofia,Lange,sofia.lange3@example.com,Students & Budget-Conscious,19,Cologne,2.6,23.26,8.1,Gym & Office,1,1,0,0,6.6
4,Max,Wolf,max.wolf4@example.com,On-the-go Commuters,41,Other Germany,6.4,9.08,5.4,Gym & Office,1,1,0,1,10
5,Leon,Becker,leon.becker5@example.com,Fitness & Gym-Goers,20,Other Germany,7.4,14.42,6.5,DTC Online,1,1,1,0,6.9
6,Paul,Braun,paul.braun6@example.com,Students & Budget-Conscious,20,Hamburg,3.1,15.15,9.2,Retail/Grocery,1,0,1,0,5.2
7,Marie,Fischer,marie.fischer7@example.com,Students & Budget-Conscious,18,Other Germany,5.4,10.76,7.0,DTC Online,0,0,1,0,6.2
8,Jonas,Neumann,jonas.neumann8@example.com,Urban Wellness Professionals,28,Berlin,8.9,23.74,2.2,Gym & Office,1,1,1,0,8.3
9,Lea,Zimmermann,lea.zimmermann9@example.com,Students & Budget-Conscious,19,Frankfurt,6.7,17.63,8.6,Gym & Office,0,1,0,0,4.6
10,Ben,Hoffmann,ben.hoffmann10@example.com,Students & Budget-Conscious,18,Other Germany,6.9,27.02,6.8,Retail/Grocery,1,1,0,0,3.7
11,Leon,Krueger,leon.krueger11@example.com,Students & Budget-Conscious,23,Other Germany,6.1,23.7,8.6,Retail/Grocery,1,1,0,0,4.7
12,Nora,Fischer,nora.fischer12@example.com,On-the-go Commuters,30,Berlin,5.2,30.05,6.3,Retail/Grocery,0,0,0,1,7.8
13,Nora,Wolf,nora.wolf13@example.com,Students & Budget-Conscious,23,Frankfurt,4.1,14.75,8.8,Retail/Grocery,1,1,1,0,3.8
14,Ida,Wagner,ida.wagner14@example.com,Students & Budget-Conscious,21,Other Germany,5.2,14.35,8.8,Gym & Office,0,1,1,0,8.4
15,Leon,Klein,leon.klein15@example.com,Fitness & Gym-Goers,34,Berlin,5.6,22.85,6.1,DTC Online,0,1,1,1,6.7
16,Sofia,Schmidt,sofia.schmidt16@example.com,Urban Wellness Professionals,33,Cologne,7.9,21.48,4.6,Retail/Grocery,0,1,0,1,9.2
17,Lea,Peters,lea.peters17@example.com,Urban Wellness Professionals,25,Berlin,7.1,15.4,4.7,DTC Online,1,0,0,1,8.5
18,Paul,Peters,paul.peters18@example.com,Urban Wellness Professionals,32,Other Germany,5.4,19.18,4.5,Gym & Office,0,0,0,0,8.5
